gameid,league,playerid,gamelength,team,goldat10,oppgoldat10,gdat10,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,blue_result
1051420,LCK,100,36.85,Sandbox Gaming,16079.0,15465.0,614.0,18838.0,18449.0,389.0,343.0,314.0,29.0,"Blue , 1"
1051434,LCK,100,34.56666666666667,Griffin,16441.0,14991.0,1450.0,19056.0,18157.0,899.0,357.0,323.0,34.0,"Blue , 1"
1051679,LCK,100,39.2,Kingzone DragonX,15947.0,16331.0,-384.0,19320.0,18763.0,557.0,355.0,348.0,7.0,"Blue , 1"
1051686,LCK,100,32.25,Gen.G,16694.0,15578.0,1116.0,20084.0,18711.0,1373.0,371.0,345.0,26.0,"Blue , 1"
1051688,LCK,100,43.583333333333336,Kingzone DragonX,15939.0,15977.0,-38.0,19652.0,18738.0,914.0,369.0,338.0,31.0,"Blue , 1"
1051690,LCK,100,29.7,SK Telecom T1,16750.0,15642.0,1108.0,19845.0,18564.0,1281.0,367.0,351.0,16.0,"Blue , 1"
1061491,CBLoL,100,36.63333333333333,Flamengo eSports,15987.0,16212.0,-225.0,18785.0,19410.0,-625.0,329.0,340.0,-11.0,"Blue , 1"
1061503,CBLoL,100,36.4,INTZ e-Sports,16179.0,15507.0,672.0,19153.0,18770.0,383.0,332.0,342.0,-10.0,"Blue , 0"
1061518,CBLoL,100,31.616666666666667,ProGaming Esports,13770.0,14806.0,-1036.0,16919.0,18498.0,-1579.0,249.0,321.0,-72.0,"Blue , 0"
1061522,CBLoL,100,46.96666666666667,Redemption eSports,16531.0,15064.0,1467.0,18644.0,16182.0,2462.0,280.0,271.0,9.0,"Blue , 1"
1061706,CBLoL,100,35.7,KaBuM e-Sports,15473.0,16085.0,-612.0,18629.0,18591.0,38.0,293.0,305.0,-12.0,"Blue , 1"
1061718,CBLoL,100,35.233333333333334,Redemption eSports,15034.0,15253.0,-219.0,18713.0,17632.0,1081.0,311.0,312.0,-1.0,"Blue , 1"
1061727,CBLoL,100,34.68333333333333,Uppercut esports,15434.0,16392.0,-958.0,18049.0,18507.0,-458.0,301.0,319.0,-18.0,"Blue , 0"
1061740,CBLoL,100,28.916666666666668,CNB e-Sports Club,15490.0,16250.0,-760.0,18836.0,19405.0,-569.0,328.0,348.0,-20.0,"Blue , 0"
1061556,LCS,100,38.266666666666666,Echo Fox,16876.0,16356.0,520.0,19405.0,18083.0,1322.0,331.0,332.0,-1.0,"Blue , 0"
1061576,LCS,100,30.733333333333334,Cloud9,16146.0,16040.0,106.0,18785.0,18547.0,238.0,336.0,338.0,-2.0,"Blue , 1"
1061592,LCS,100,34.86666666666667,100 Thieves,15066.0,15456.0,-390.0,19008.0,19097.0,-89.0,313.0,328.0,-15.0,"Blue , 0"
1061601,LCS,100,48.93333333333333,FlyQuest,16151.0,15893.0,258.0,19341.0,18040.0,1301.0,346.0,311.0,35.0,"Blue , 0"
1061618,LCS,100,32.666666666666664,Clutch Gaming,15575.0,16657.0,-1082.0,17590.0,18544.0,-954.0,313.0,292.0,21.0,"Blue , 0"
1051785,LCS,100,33.61666666666667,Golden Guardians,15310.0,15546.0,-236.0,18488.0,19082.0,-594.0,321.0,343.0,-22.0,"Blue , 0"
1051804,LCS,100,36.483333333333334,Echo Fox,15804.0,15764.0,40.0,19523.0,18987.0,536.0,347.0,332.0,15.0,"Blue , 1"
1051827,LCS,100,36.766666666666666,Team Liquid,15923.0,14664.0,1259.0,19081.0,17708.0,1373.0,324.0,306.0,18.0,"Blue , 1"
1051838,LCS,100,37.2,Team SoloMid,16108.0,15156.0,952.0,18562.0,18548.0,14.0,357.0,324.0,33.0,"Blue , 0"
1051866,LCS,100,37.65,Cloud9,16281.0,16533.0,-252.0,18408.0,18955.0,-547.0,349.0,307.0,42.0,"Blue , 0"
890823,LEC,100,26.133333333333333,Schalke 04,15777.0,16348.0,-571.0,18485.0,19218.0,-733.0,332.0,324.0,8.0,"Blue , 1"
890839,LEC,100,45.833333333333336,SK Gaming,15368.0,16593.0,-1225.0,18163.0,19237.0,-1074.0,329.0,346.0,-17.0,"Blue , 0"
890855,LEC,100,31.6,Origen,15402.0,15039.0,363.0,18237.0,18767.0,-530.0,339.0,315.0,24.0,"Blue , 1"
890870,LEC,100,28.066666666666666,Fnatic,15474.0,14754.0,720.0,18732.0,17653.0,1079.0,317.0,300.0,17.0,"Blue , 1"
890890,LEC,100,27.533333333333335,G2 Esports,17169.0,16340.0,829.0,19132.0,18161.0,971.0,312.0,287.0,25.0,"Blue , 1"
880970,LEC,100,30.016666666666666,Schalke 04,15747.0,15766.0,-19.0,18592.0,19110.0,-518.0,354.0,355.0,-1.0,"Blue , 0"
880992,LEC,100,33.13333333333333,SK Gaming,15826.0,15294.0,532.0,18577.0,18293.0,284.0,351.0,339.0,12.0,"Blue , 1"
881008,LEC,100,45.15,Splyce,16819.0,15966.0,853.0,19627.0,18722.0,905.0,368.0,351.0,17.0,"Blue , 1"
881015,LEC,100,32.96666666666667,Vitality,14412.0,15278.0,-866.0,17238.0,18604.0,-1366.0,302.0,315.0,-13.0,"Blue , 1"
1053197,LCS,100,51.35,100 Thieves,16300.0,15137.0,1163.0,19037.0,17837.0,1200.0,325.0,266.0,59.0,"Blue , 1"
1053221,LCS,100,35.6,FlyQuest,15152.0,16103.0,-951.0,18807.0,19286.0,-479.0,292.0,348.0,-56.0,"Blue , 0"
1053240,LCS,100,45.03333333333333,Team SoloMid,14934.0,16042.0,-1108.0,18852.0,18525.0,327.0,324.0,320.0,4.0,"Blue , 0"
1053247,LCS,100,42.45,Echo Fox,15434.0,16091.0,-657.0,19382.0,19333.0,49.0,345.0,356.0,-11.0,"Blue , 0"
1053261,LCS,100,32.733333333333334,OpTic Gaming,15489.0,16124.0,-635.0,19338.0,19639.0,-301.0,351.0,380.0,-29.0,"Blue , 0"
1053373,LCS,100,32.18333333333333,FlyQuest,16242.0,16324.0,-82.0,19021.0,19494.0,-473.0,341.0,353.0,-12.0,"Blue , 0"
