matchup,kills,deaths,assists,csat15,oppcsat15,total_gold,damage
"Gangplank , Tahm Kench",3.0,1.0,11.0,124.0,111.0,17283.0,22551.0
"Gangplank , Vladimir",3.0,0.8333333333333334,6.0,136.66666666666666,130.66666666666666,13233.333333333334,16209.0
"Gangplank , Yorick",4.0,2.0,5.0,116.0,134.0,19932.0,26777.0
"Gnar , Aatrox",2.8333333333333335,1.6666666666666667,4.166666666666667,125.6,133.8,13505.0,17454.0
"Gnar , Camille",1.6666666666666667,2.6666666666666665,5.0,126.33333333333333,117.66666666666667,11748.0,12741.0
"Gnar , Gangplank",2.0,2.0,9.0,109.0,124.0,13129.0,8789.0
"Gnar , Irelia",1.0,0.0,5.0,105.0,127.0,10288.0,12266.0
"Gnar , Jarvan IV",3.0,1.0,2.0,140.0,139.0,11870.0,12952.0
"Gnar , Kennen",3.0,2.0,3.0,130.0,126.0,11631.0,13070.0
"Gnar , Mordekaiser",2.0,2.0,7.0,123.0,99.0,14405.0,18982.0
"Gnar , Neeko",0.0,2.0,6.0,136.0,118.0,11874.0,7051.0
"Gnar , Rumble",2.0,1.0,5.0,126.0,135.5,13275.5,10033.0
"Gragas , Aatrox",1.0,1.0,4.0,76.0,84.0,11409.0,9431.0
"Gragas , Elise",5.5,3.0,9.0,90.0,84.0,13225.0,11890.0
"Gragas , Evelynn",3.0,0.0,6.0,117.0,104.0,12935.0,9990.0
"Gragas , Jarvan IV",2.25,1.5,7.5,83.0,91.66666666666667,11376.0,10066.333333333334
"Gragas , Karthus",7.0,1.0,1.0,81.0,113.0,13390.0,12233.0
"Gragas , Kha'zix",4.0,1.0,5.0,100.0,86.0,11146.0,10235.0
"Gragas , Kindred",2.0,2.0,10.0,,,,
"Gragas , Lee Sin",3.0,1.2857142857142858,7.428571428571429,80.83333333333333,89.0,11051.333333333334,10106.166666666666
"Gragas , Lux",3.0,1.0,4.0,4.0,4.0,9041.0,7049.0
"Gragas , Olaf",5.0,0.5,8.75,73.33333333333333,94.33333333333333,10822.333333333334,13366.666666666666
"Gragas , Rek'Sai",1.5,1.25,5.25,81.66666666666667,95.0,11518.0,7727.0
"Gragas , Renekton",1.0,3.0,6.0,91.0,139.0,11263.0,14957.0
"Gragas , Sejuani",2.1666666666666665,3.0,10.166666666666666,82.5,97.5,11998.5,12745.5
"Gragas , Skarner",2.5,1.0,8.5,94.5,79.0,11758.5,12314.0
"Gragas , Sylas",5.0,2.0,9.5,98.0,87.0,15218.0,24118.0
"Gragas , Xin Zhao",4.0,0.6666666666666666,6.0,91.0,91.5,10972.5,12401.0
"Gragas , Yuumi",2.5,2.5,5.0,28.5,4.0,10257.0,8669.0
